scenario,total_cost,total_revenue,profit,stockout_rate,service_level,inventory_turnover
25000,440561,318147,-122414,0.688889,0.470687,188.384
25001,447062,326900,-120162,0.688889,0.472854,194.165
25002,449950,321100,-128850,0.688889,0.463777,211.482
25003,457143,322565,-134578,0.655556,0.480361,180.452
25004,447601,328777,-118824,0.694444,0.487223,220.223
25005,459741,305625,-154116,0.688889,0.441221,169.383
25006,450548,321300,-129248,0.677778,0.464155,173.474
25007,460537,292800,-167737,0.716667,0.418469,175.941
25008,454791,329084,-125707,0.694444,0.470611,204.64
25009,454624,310390,-144234,0.705556,0.454054,199.695
25010,459502,312416,-147086,0.716667,0.44108,204.988
25011,445509,328492,-117017,0.672222,0.482752,182.967
25012,439610,316500,-123110,0.672222,0.469577,169.618
25013,448756,344559,-104198,0.672222,0.488775,202.674
25014,457896,322558,-135339,0.7,0.459349,203.07
25015,445422,323807,-121615,0.683333,0.473178,195.683
25016,441095,307200,-133895,0.7,0.454238,173.041
25017,449022,317100,-131922,0.694444,0.4611,195.061
25018,450501,299792,-150709,0.694444,0.426857,186.547
25019,442336,315132,-127205,0.672222,0.457686,170.726
25020,452983,305846,-147138,0.716667,0.430285,188.05
25021,448966,285668,-163298,0.694444,0.4305,159.721
25022,450973,306691,-144282,0.711111,0.44327,195.905
25023,448435,308802,-139633,0.683333,0.457272,179.472
25024,450227,315093,-135134,0.7,0.458457,209.156
25025,475881,281900,-193981,0.716667,0.411067,169.682
25026,448462,293400,-155062,0.711111,0.426062,173.098
25027,448397,301121,-147277,0.711111,0.436127,184.062
25028,443526,325573,-117953,0.661111,0.479133,168.85
25029,452840,320156,-132684,0.672222,0.459927,184.345
25030,455881,320011,-135870,0.677778,0.463405,180.81
25031,455695,307400,-148295,0.711111,0.437302,202.247
25032,448858,349700,-99158.5,0.644444,0.509423,202.801
25033,434988,343386,-91602.6,0.65,0.507359,198.325
25034,449545,285858,-163687,0.711111,0.424992,148.878
25035,458068,296380,-161688,0.711111,0.437897,154.803
25036,446449,328289,-118160,0.705556,0.477894,199.576
25037,453584,296615,-156969,0.711111,0.425427,183.094
25038,444718,319646,-125073,0.705556,0.474145,206.199
25039,454747,312000,-142747,0.705556,0.442104,204.617
25040,454811,328213,-126598,0.683333,0.477288,191.109
25041,454753,299200,-155553,0.722222,0.432001,190.347
25042,459571,301678,-157893,0.683333,0.439353,153.049
25043,457736,330490,-127246,0.666667,0.476718,186.771
25044,460233,283500,-176733,0.75,0.418894,181.233
25045,442036,310999,-131037,0.716667,0.455388,198.07
25046,455344,307000,-148344,0.744444,0.442066,245.337
25047,460523,308366,-152157,0.705556,0.43752,225.588
25048,461727,307600,-154127,0.694444,0.442593,188.589
25049,463265,317300,-145965,0.688889,0.455582,186.06
25050,456671,312100,-144571,0.694444,0.444277,194.004
25051,460759,291389,-169370,0.705556,0.4164,185.515
25052,454097,287400,-166697,0.711111,0.411966,182.932
25053,454106,302300,-151806,0.705556,0.438789,173.886
25054,450568,321300,-129268,0.683333,0.4623,193.191
25055,477314,311405,-165909,0.716667,0.432936,205.528
25056,453339,326100,-127239,0.694444,0.467549,192.7
25057,448428,315718,-132710,0.727778,0.458963,206.01
25058,445731,313753,-131978,0.7,0.4571,204.11
25059,456235,288400,-167835,0.727778,0.416862,192.344
25060,448836,315143,-133694,0.7,0.456233,172.628
25061,454749,298375,-156374,0.7,0.422995,186.028
25062,446652,319376,-127276,0.694444,0.461104,193.958
25063,457777,301600,-156177,0.711111,0.439285,179.047
